table_name,field_name,language,translation,record_id,field_value
stops,stop_name,sv,Konserthuset,18,
stops,stop_name,sv,Kivimovägen N,8329,
stops,stop_name,sv,Lenholm Ö,8174,
stops,stop_name,sv,Paimala,1090,
stops,stop_name,sv,Kopparövägen N,8166,
stops,stop_name,sv,Dragonparken,1343,
stops,stop_name,sv,Gamla Kungsbäcksvägen,810,
stops,stop_name,sv,Speditionsgatan,1206,
stops,stop_name,sv,Valuvägen,1138,
stops,stop_name,sv,Lepolavägen,1310,
stops,stop_name,sv,Koumvägen V,8243,
stops,stop_name,sv,Valkiaisvuorigatan,620,
stops,stop_name,sv,Rautalagatan,819,
stops,stop_name,sv,Illoisvägen,324,
stops,stop_name,sv,Leipälävägen,1589,
stops,stop_name,sv,Salutorget,T42,
stops,stop_name,en,Market Square (City centre),T42,
stops,stop_name,sv,Stenhagen V,8223,
stops,stop_name,sv,Valkiaisvuorigatan,622,
stops,stop_name,sv,Fotbollsstadion,1348,
stops,stop_name,sv,Brahegatan,112,
stops,stop_name,sv,Höytisvägen,380,
stops,stop_name,sv,Svalberga,879,
stops,stop_name,sv,Aatila strandväg,1247,
stops,stop_name,sv,Huhkomaavägen,1088,
stops,stop_name,sv,Monnoisvägen,1422,
stops,stop_name,sv,Artukais startbana,1522,
stops,stop_name,sv,Palli,981,
stops,stop_name,sv,Turjaparken,718,
stops,stop_name,sv,Koukkarigatan,833,
stops,stop_name,sv,Grimgatan,238,
stops,stop_name,sv,Brahegatan,68,
stops,stop_name,sv,Pansio,667,
stops,stop_name,sv,Mälikkälä,800,
stops,stop_name,sv,"Mossala, Knutsvägen",8335,
stops,stop_name,sv,Marjaniemivägen,573,
stops,stop_name,sv,Lillheikkilävägen,944,
stops,stop_name,sv,Verkanvägen V,8277,
stops,stop_name,sv,Jetplansvägen,1083,
stops,stop_name,sv,Moisiorampen,1077,
stops,stop_name,sv,Observatoriegatan,161,
stops,stop_name,sv,Antesgränden,1784,
stops,stop_name,sv,Kungsbäcksvägen,976,
stops,stop_name,sv,Åkerbacksvägen,1312,
stops,stop_name,sv,S:t Marieporten,1776,
